Data,Pos,Canzone,Artista,Tag,Dettaglio
2026-04-18,1,Choosin' Texas,Ella Langley,NEW✨,
2026-04-18,2,Man I Need,Olivia Dean,NEW✨,
2026-04-18,3,I Just Might,Bruno Mars,NEW✨,
2026-04-18,4,Ordinary,Alex Warren,NEW✨,
2026-04-18,5,Swim,BTS,NEW✨,
2026-04-18,6,So Easy (To Fall In Love),Olivia Dean,NEW✨,
2026-04-18,7,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",NEW✨,
2026-04-18,8,Be Her,Ella Langley,NEW✨,
2026-04-18,9,Stateside,PinkPantheress With Zara Larsson,NEW✨,
2026-04-18,10,Folded,Kehlani,NEW✨,
2026-04-11,1,Choosin' Texas,Ella Langley,TOP 10,Ex #2
2026-04-11,2,Swim,BTS,TOP 10,Stabile/Discesa
2026-04-11,3,Man I Need,Olivia Dean,TOP 10,Stabile/Discesa
2026-04-11,4,I Just Might,Bruno Mars,TOP 10,Stabile/Discesa
2026-04-11,5,Ordinary,Alex Warren,TOP 10,Stabile/Discesa
2026-04-11,6,So Easy (To Fall In Love),Olivia Dean,TOP 10,Ex #7
2026-04-11,7,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",TOP 10,Stabile/Discesa
2026-04-11,8,Stateside,PinkPantheress With Zara Larsson,TOP 10,Stabile/Discesa
2026-04-11,9,The Fate Of Ophelia,Taylor Swift,NEW✨,Stabile/Discesa
2026-04-11,10,Folded,Kehlani,TOP 10,Stabile/Discesa
2026-04-11,35,Elizabeth Taylor,Taylor Swift,🚀 MOVER,Salita di 30 pos.
2026-04-11,65,Earrings,Malcolm Todd,🚀 MOVER,Salita di 20 pos.
2026-04-11,31,Pop Dat Thang,DaBaby,🚀 MOVER,Salita di 14 pos.
2026-04-11,77,Freakin' Out,Dexter And The Moonrocks,🚀 MOVER,Salita di 14 pos.
2026-04-11,63,Time's Ticking,Justin Moore,🚀 MOVER,Salita di 12 pos.
2026-04-11,56,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,🚀 MOVER,Salita di 10 pos.
2026-04-11,21,Father,Ye & Travis Scott,🎵 DEBUT,Nuova entrata
2026-04-11,27,All The Love,Ye & Andre Troutman,🎵 DEBUT,Nuova entrata
2026-04-11,40,King,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,44,Punch Drunk,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,49,Whatever Works,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,51,This A Must,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,57,Preacher Man,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,59,Mama's Favorite,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,61,Bully,Ye & CeeLo Green,🎵 DEBUT,Nuova entrata
2026-04-11,62,Highs And Lows,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,67,Sisters And Brothers,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,69,"Younger You (From The ""Hannah Montana 20th Anniversary Special"")",Miley Cyrus,🎵 DEBUT,Nuova entrata
2026-04-11,72,I Can't Wait,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,81,Last Breath,Ye & Peso Pluma,🎵 DEBUT,Nuova entrata
2026-04-11,82,White Lines,Ye & Andre Troutman,🎵 DEBUT,Nuova entrata
2026-04-11,85,Beauty And The Beast,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,87,Circles,Ye,🎵 DEBUT,Nuova entrata
2026-04-11,97,Griddle,Yeat & Don Toliver,🎵 DEBUT,Nuova entrata
2026-04-11,98,Silent Treatment,Freya Skye,🎵 DEBUT,Nuova entrata
2026-04-04,1,Swim,BTS,TOP 10,Nuova in Top 10
2026-04-04,2,Choosin' Texas,Ella Langley,TOP 10,Settimana scorsa: #1
2026-04-04,3,Man I Need,Olivia Dean,TOP 10,Settimana scorsa: #2
2026-04-04,4,I Just Might,Bruno Mars,TOP 10,Settimana scorsa: #3
2026-04-04,5,Ordinary,Alex Warren,TOP 10,Settimana scorsa: #4
2026-04-04,6,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",TOP 10,Settimana scorsa: #5
2026-04-04,7,So Easy (To Fall In Love),Olivia Dean,TOP 10,Settimana scorsa: #9
2026-04-04,8,Stateside,PinkPantheress With Zara Larsson,TOP 10,Settimana scorsa: #6
2026-04-04,9,The Fate Of Ophelia,Taylor Swift,TOP 10,Settimana scorsa: #8
2026-04-04,10,Folded,Kehlani,TOP 10,Settimana scorsa: #11
2026-04-04,31,Days Like These,Luke Combs,NEW✨ 🚀 MOVER,Salita di 15 pos. (da #46)
2026-04-04,38,Change My Mind,Riley Green,NEW✨ 🚀 MOVER,Salita di 11 pos. (da #49)
2026-04-04,88,Don't We,Morgan Wallen,NEW✨ 🚀 MOVER,Salita di 10 pos. (da #98)
2026-04-04,1,Swim,BTS,🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,25,Body To Body,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,35,Hooligan,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,36,FYA,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,41,Normal,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,46,Rethink Some Things,Luke Combs,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,47,Aliens,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,50,2.0,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,52,Merry Go Round,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,53,Like Animals,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,55,Loving Life Again,Ella Langley,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,56,They Don't Know 'bout Us,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,61,One More Night,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,63,Please,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,68,Into The Sun,BTS,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,82,Can't Sit Still,Lainey Wilson,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,90,Go Away,Weezer,NEW✨ 🎵 DEBUT,Entrata assoluta in classifica
2026-04-04,91,Freakin' Out,Dexter And The Moonrocks,🎵 DEBUT,Entrata assoluta in classifica
